Article,views
Annabelle (film),2871053
Bruce Willis,2870333
Tom Selleck,2869676
Woody Allen,2868737
Ghost in the Shell,2866524
Korea,2865675
Manson Family,2865615
Magic Johnson,2865487
Future (rapper),2863780
Donald Trump Jr.,2861603
Jennifer Garner,2861583
Lil Uzi Vert,2860108
Silence (2016 film),2859379
Juventus F.C.,2859371
Aishwarya Rai,2858570
Dave Chappelle,2857640
Deferred Action for Childhood Arrivals,2851934
"Opinion polling for the French presidential election, 2017",2850711
Mariska Hargitay,2850607
The Godfather,2849767
Badrinath Ki Dulhania,2849399
Harry Kane,2847171
Jessica Chastain,2847156
George Harrison,2846731
Simon Cowell,2845568
Cillian Murphy,2843527
Saroo Brierley,2842764
Zooey Deschanel,2841070
Billie Lourd,2840273
Call of Duty,2840185
Emmy Rossum,2838333
A Cure for Wellness,2835001
Gavin Rossdale,2834526
Chesley Sullenberger,2834411
The Gifted (TV series),2833810
Halle Berry,2830820
50 Cent,2829147
The Star-Spangled Banner,2828796
Adam West,2826547
21 Savage,2826164
Kombucha,2825678
James Corden,2823014
Vladimir Lenin,2822567
Daylight saving time,2821106
New Edition,2820744
Tom Hiddleston,2820477
Lockheed Martin F-35 Lightning II,2819106
River Phoenix,2817759
List of Attack on Titan episodes,2817512
Steve McQueen,2816204
Sam Elliott,2815417
2018 Winter Olympics,2815306
Liam Hemsworth,2814970
Sally Field,2812561
Ram Nath Kovind,2811309
Scotland,2811152
List of countries by life expectancy,2809436
List of state and union territory capitals in India,2806328
Novak Djokovic,2803373
Eiffel Tower,2799410
List of The 100 episodes,2795266
United States Declaration of Independence,2795057
Rose McGowan,2794404
Gaten Matarazzo,2789309
Borderline personality disorder,2788743
The Voice (U.S. TV series),2787982
Survivor Series (2017),2787828
Steven Seagal,2786793
Animal,2786126
Republican Party (United States),2784764
Rex Tillerson,2784399
Marisa Tomei,2783493
Jeremy Corbyn,2783274
Dylan O'Brien,2782179
Kate Upton,2778893
List of pornographic actresses by decade,2777111
Solar eclipse,2775757
Ronda Rousey,2774717
Chicago,2773069
Anne Boleyn,2772358
United States presidential line of succession,2771388
X-23,2770663
Emily Ratajkowski,2770325
The Good Doctor (TV series),2769870
Chloë Grace Moretz,2769770
Academy Award for Best Picture,2769521
Bella Hadid,2768387
Aaliyah,2768044
Howard Hughes,2767508
F. Scott Fitzgerald,2767137
Queen (band),2763400
Lisa Marie Presley,2762005
Nicole Brown Simpson,2760464
List of Knowing Bros episodes,2759542
Bryce Dallas Howard,2759488
Superman,2757951
Computer,2757109
Jimmy Kimmel,2756362
Hinduism,2756131
Rings (2017 film),2755395
Mumbai,2755056
Suits (season 6),2754835
Tramadol,2754049
Michael J. Fox,2752233
John Legend,2752044
Christian Bale,2751537
Gwyneth Paltrow,2751362
Vikings (season 4),2750550
Twitter,2750519
Karen Gillan,2750013
Vanessa Hudgens,2749272
Argentina,2748498
Homeland (season 6),2746939
The Boss Baby,2746910
Alien (film),2746276
NCIS (TV series),2744554
Twenty One Pilots,2744061
Heidi Klum,2742481
Richard and Maurice McDonald,2741849
Project MKUltra,2739412
List of Brooklyn Nine-Nine episodes,2738834
Wedding anniversary,2736400
Jada Pinkett Smith,2736400
Crohn's disease,2735981
Cleopatra,2735455
Jason Bateman,2734971
Bebe Rexha,2734139
Black Panther (film),2732593
Chuck Norris,2730375
Vijay (actor),2729058
Kareem Abdul-Jabbar,2728436
Jordan Peele,2725264
Romania,2723876
Alicia Keys,2722642
Jamie Foxx,2722440
The Orville,2722261
PewDiePie,2721469
Michelle Williams (actress),2719287
Fences (film),2718983
Doctor Strange (film),2717775
Leah Remini,2717692
Alan Rickman,2717080
Mel B,2716799
Bill Nye,2716107
Satoshi Nakamoto,2715789
Lindsay Lohan,2715116
Silicon Valley (TV series),2713396
Death Note (2017 film),2710889
American Made (film),2709746
Giannis Antetokounmpo,2709068
The Originals (TV series),2707797
Uber (company),2704128
Thanos,2698469
Snapchat,2698306
The Magicians (U.S. TV series),2698030
James Mattis,2694217
Mayim Bialik,2693614
The Walking Dead (season 8),2693206
HP LoadRunner,2692659
Jay-Z,2692517
Normal distribution,2692288
Maslow's hierarchy of needs,2691221
Julia Louis-Dreyfus,2689783
Bed size,2689147
Ian McKellen,2688027
Hurricane Harvey,2687929
Shashi Kapoor,2685738
Syria,2684543
Corey Haim,2680466
Katrina Kaif,2679348
Matthew Perry,2676573
Hayden Panettiere,2675898
Triple H,2675725
Paul Newman,2675535
Sun,2673296
Death Note,2671746
Czech Republic,2671595
Wolfgang Amadeus Mozart,2671274
List of TCP and UDP port numbers,2670397
Julia Stiles,2668026
Christina Grimmie,2664460
Michael Keaton,2663457
Dakota Fanning,2661870
Rohingya people,2661695
Kate McKinnon,2661524
Nikki Haley,2661284
Belgium,2659285
Kylian Mbappé,2654423
Anthony Rapp,2654352
Sofia Boutella,2653917
HTTP cookie,2653874
Robert Mueller,2652857
Harry S. Truman,2648282
Glen Campbell,2647833
Grace Kelly,2645736
Philosophy,2645049
Viola Davis,2643891
Finland,2643588
Led Zeppelin,2642669
Anton Yelchin,2642514
List of Star Wars Rebels episodes,2639826
Coco (2017 film),2639663
Martin Luther,2639400
Ansel Elgort,2639258
Stranger Things (TV series),2637925
Jumanji: Welcome to the Jungle,2635745
Russell Westbrook,2625039
Paris Saint-Germain F.C.,2619521
Spider-Man,2619283
The Grand Tour (TV series),2618892
American Horror Story: Roanoke,2617922
Michael Douglas,2614911
Richard Branson,2614116
Jawaharlal Nehru,2614096
Fifty Shades of Grey (film),2613737
Rita Ora,2612170
Woody Harrelson,2610676
Margaret Thatcher,2610564
Andy Kaufman,2609629
Jinder Mahal,2608870
Ozzy Osbourne,2608684
Willie Nelson,2607577
Marie Curie,2606477
Greenland,2606398
Ivar the Boneless,2605364
Joaquin Phoenix,2605332
Lion,2605069
Steve Harvey,2604988
Geeta Phogat,2602952
East India Company,2601438
Osama bin Laden,2600798
Amal Clooney,2600758
Mersal (film),2597817
Impeachment of Bill Clinton,2597559
Microsoft,2597547
Stellan Skarsgård,2596403
Despicable Me 3,2596090
Russian Empire,2595477
PlayStation 4,2595369
Paris,2594950
Saoirse Ronan,2594200
Katie Holmes,2593906
That '70s Show,2593458
Robert Redford,2591868
Dolly Parton,2591643
Fergie (singer),2590387
Sandy Hook Elementary School shooting,2590127
John Krasinski,2589960
Alexis Ohanian,2587254
Khloé Kardashian,2587034
Little Mix,2586049
Wallis Simpson,2585522
Benito Mussolini,2585102
Christmas,2583085
Jodie Foster,2583053
Alexis Bledel,2582652
Multiple sclerosis,2582373
Steve Carell,2581220
Adam Levine,2580756
Swastika,2580582
Ukraine,2580216
Henry Cavill,2579980
Jon Jones,2579978
Pentatonix,2579882
Diwali,2578612
Exo (band),2577734
FIFA World Cup,2576336
Amber Rose,2575515
Dark web,2575459
Jigsaw (2017 film),2573243
Malala Yousafzai,2571794
Eva Green,2569731
The Legend of Zelda: Breath of the Wild,2569277
Test data,2568673
Sofía Vergara,2567214
Liam Payne,2566788
Austria,2566698
Jude Law,2565807
Ivy League,2565802
Monaco,2563833
Liam Gallagher,2563632
Yogi Adityanath,2563196
Tottenham Hotspur F.C.,2562462
Cloud computing,2561315
Friedrich Nietzsche,2560142
Ron Howard,2559901
Robert F. Kennedy,2558596
Dwyane Wade,2556775
Nepal,2555389
Jean-Claude Van Damme,2553563
Cyprus,2553032
Daenerys Targaryen,2552940
Sean Combs,2552549
Helen Keller,2552392
Thanksgiving,2551799
Milla Jovovich,2550612
Catherine Zeta-Jones,2549641
Ed Gein,2548158
Ezra Miller,2547731
Texas,2546936
Mao Zedong,2545196
Greece,2543399
Gaslighting,2541371
Richard B. Spencer,2539623
Santa Clarita Diet,2538393
Gary Oldman,2537732
Bates Motel (TV series),2536818
The Winds of Winter,2534995
Cobie Smulders,2533951
Evan Rachel Wood,2533116
Toilet: Ek Prem Katha,2529522
Ariel Winter,2528140
The Girl on the Train (2016 film),2527351
Stevie Nicks,2527287
Ramadan,2527191
Cocaine,2524855
List of Nintendo Switch games,2524713
Naruto,2524477
American Revolutionary War,2524219
Michael Caine,2523722
Jessica Lange,2522566
Dylan and Cole Sprouse,2522512
Susan Sarandon,2521943
Fleetwood Mac,2521416
War Machine (film),2521350
Alt-right,2520987
Barry Gibb,2519431
List of country calling codes,2518656
Enrique Iglesias,2516786
2017 Formula One season,2516657
Katherine Heigl,2516162
Power (TV series),2515746
Law & Order: Special Victims Unit,2515253
America's Got Talent (season 12),2514636
Matt Ryan (American football),2514538
Supernatural (season 12),2514198
Sex position,2510827
Cabinet of Donald Trump,2510722
Colombia,2510578
Tina Turner,2509518
Charles I of England,2505517
Guy Fawkes,2504880
Berlin Wall,2504832
Danny DeVito,2504280
B. R. Ambedkar,2503500
Seal (musician),2502762
Rana Daggubati,2500744
Red Hot Chili Peppers,2499798
Amanda Seyfried,2499208
The Avengers (2012 film),2498477
Half Girlfriend (film),2496890
List of amendments to the United States Constitution,2496140
Twenty-fifth Amendment to the United States Constitution,2495362
Afghanistan,2494140
Rosario Dawson,2493471
Portugal,2492815
Education in the United States,2492144
Steppenwolf (comics),2491497
Rob Lowe,2489216
Sons of Anarchy,2486708
Neil Patrick Harris,2486231
Michelle Rodriguez,2485868
"Tesla, Inc.",2482957
Kesha,2482679
List of The Blacklist episodes,2482457
Communism,2481542
Matt LeBlanc,2481110
Adam Warlock,2480804
Bryan Cranston,2480381
The Good Place,2479626
Star Trek,2479363
Will Ferrell,2478161
Agents of S.H.I.E.L.D. (season 4),2477628
Marie Antoinette,2476949
Luxembourg,2476769
New7Wonders of the World,2474441
Kaitlin Olson,2473132
Lena Dunham,2473017
Croatia,2472788
A.C. Milan,2472437
Jim Parsons,2471924
List of Presidents of India,2470691
Kiefer Sutherland,2470446
Harley Quinn,2469909
Martin Sheen,2467799
Isla Fisher,2467516
Kurt Angle,2466446
Gross domestic product,2465889
James Cameron,2464917
Kray twins,2463233
Pope Francis,2463173
Amyotrophic lateral sclerosis,2463145
List of United States stand-up comedians,2462969
Teen Wolf (2011 TV series),2462512
U.S. state,2460671
Elizabeth Banks,2459743
Assassination of John F. Kennedy,2459354
2017,2458681
Lily James,2458267
The Lost City of Z (film),2458127
69 (sex position),2457787
List of stand-up comedians,2455482
Zimbabwe,2455102
Amelia Earhart,2453705
Venezuela,2453407
Trypophobia,2452592
Power Rangers,2450964
Easter,2450696
Owen Wilson,2450202
Ed and Lorraine Warren,2449673
Julie Andrews,2448838
Furious 7,2447244
Eric Trump,2446956
Running Man (TV series),2446594
Confederate States of America,2445985
2017 ATP World Tour,2445842
Australia Plus,2445824
The Young Pope,2445455
List of Suits episodes,2444683
Marine Le Pen,2444192
10 Cloverfield Lane,2443462
Lebanon,2441910
Rebecca Ferguson,2441141
Paige (wrestler),2440475
Rag'n'Bone Man,2439646
List of European Cup and UEFA Champions League finals,2439208
2016–17 UEFA Champions League,2437778
Pharrell Williams,2437764
Dzhokhar Tsarnaev,2436632
Michael Oher,2436069
2017 NBA draft,2435793
Human Development Index,2434875
Corey Feldman,2434177
Kamala Harris,2433829
Manushi Chhillar,2433674
Preacher (TV series),2432764
Kareena Kapoor,2430733
World War II casualties,2429947
Nier: Automata,2429672
Orlando Bloom,2429489
Narcissism,2429365
Avengers: Age of Ultron,2428856
The Shawshank Redemption,2428499
Auli'i Cravalho,2428430
MS-13,2428368
Gucci Mane,2427829
Bookmark,2427604
Doctor Who (series 10),2426718
S. S. Rajamouli,2425388
History of bitcoin,2423661
The Matrix,2423201
Fibromyalgia,2420349
Saint Lucia,2419563
Charlie Puth,2418959
Erin Moran,2417719
MDMA,2417450
Disha Patani,2415713
J. Paul Getty,2413617
Noah Cyrus,2412562
Elizabeth Warren,2411542
Jaden Smith,2410523
Jim Crow laws,2408430
The Three Musketeers,2406347
Lee Harvey Oswald,2402986
List of English monarchs,2401737
Lil Pump,2401530
Jon Bernthal,2399419
Portia de Rossi,2398564
Grand Theft Auto V,2397547
Family Guy,2396949
Georges St-Pierre,2396910
Sherlock Holmes,2395844
John F. Kennedy Jr.,2395700
Armenia,2395415
George R. R. Martin,2394981
Bobby Brown,2393989
Guns N' Roses,2393829
Suits (season 7),2393720
John Ritter,2392386
Frank Abagnale,2390142
A,2389827
Britt Robertson,2389317
Mass Effect: Andromeda,2389035
Strong Woman Do Bong-soon,2387917
Kodak Black,2387488
List of Australian stand-up comedians,2386254
Fear the Walking Dead,2385450
Bashar al-Assad,2383240
Warren Beatty,2382871
Richard Gere,2382766
Caroline Kennedy,2382500
John Adams,2382328
Kumail Nanjiani,2379784
Zoey Deutch,2379600
Azerbaijan,2379324
Sean Astin,2379181
List of Canadian stand-up comedians,2378914
Kikaider,2376715
Brandon Lee,2375950
Teresa Palmer,2375821
Ryan Phillippe,2375695
The Rolling Stones,2375398
Eric Clapton,2373701
List of current Indian chief ministers,2373073
Cricket,2372356
Johnnie Cochran,2370712
Noam Chomsky,2370158
Dave Grohl,2369929
List of British stand-up comedians,2368959
List of Prime Ministers of India,2367868
Donnie Wahlberg,2366036
Al-Buwaydah,2365628
Buwaydah,2365348
Ashley Judd,2365140
Liev Schreiber,2364998
Andy Murray,2364942
Fibonacci number,2364317
Darren Aronofsky,2364126
Day of the Dead,2363993
How I Met Your Mother,2363439
Trolls (film),2362702
Grigori Rasputin,2361490
Peyton Manning,2361396
Sarah Silverman,2360051
History of the FIFA World Cup,2359592
The Big Sick,2358997
Sam Smith (singer),2358754
Jordan Belfort,2357695
Jackie Robinson,2357219
British Empire,2357090
Cary Grant,2355924
Vikings,2355513
'Ain Ghazal,2354440
Pocahontas,2353379
Pamela Anderson,2353094
List of Greek mythological figures,2352842
Dennis Rader,2352452
Mary Elizabeth Winstead,2351549
Lisa Kudrow,2351442
Forrest Gump,2350941
List of mobile phone makers by country,2349967
Democratic Party (United States),2348862
Liv Tyler,2348763
Ludwig van Beethoven,2348322
Airbus A380,2347169
Sing (2016 American film),2347132
Golmaal Again,2345577
Ralph Fiennes,2345494
Al-Bassa,2345156
Albania,2344784
List of Orange Is the New Black episodes,2344775
Judwaa 2,2343465
Al-Bassah,2342561
2017–18 UEFA Europa League,2342414
Anya Taylor-Joy,2340915
Jennifer Love Hewitt,2339860
San Francisco,2338470
Ayn Ghazal,2337334
Lewis Hamilton,2337181
Insurance,2337160
Helena Bonham Carter,2337060
James Dean,2335808
Indira Gandhi,2335623
Terry Crews,2335467
Daredevil (TV series),2335453
Vera Farmiga,2335247
Dafne Keen,2334878
Kim Jong-il,2334647
Google Classroom,2334425
Nancy Kerrigan,2334280
Jamaica,2334094
Zinedine Zidane,2332806
Dancing with the Stars (U.S. season 24),2332701
Carol Burnett,2332352
Barbra Streisand,2332256
ICC Champions Trophy,2331622
International Standard Book Number,2330945
Gianluigi Buffon,2330159
US Airways Flight 1549,2329543
Lily Collins,2329104
Ulysses S. Grant,2328965
Grenada,2328863
Python (programming language),2327747
Sepsis,2325921
Stevie Wonder,2325812
The Big Bang Theory (season 10),2325226
Deontay Wilder,2324700
Fellatio,2324683
Alaska,2322624
Parkinson's disease,2319596
C (programming language),2317154
Sean Penn,2317144
Krauss-Maffei Wegmann,2316251
Ben Roethlisberger,2315580
Murder of Odin Lloyd,2314849
27 Club,2313393
Emma Thompson,2313339
Mick Jagger,2313308
Cambodia,2312754
List of countries by past and future GDP (nominal) per capita,2312689
Taraji P. Henson,2312460
"Camilla, Duchess of Cornwall",2312163
Jeff Goldblum,2310965
LaMelo Ball,2309128
Basketball,2308943
Jennifer Connelly,2306762
Kenneth Branagh,2306331
Gisele Bündchen,2304745
Melissa Benoist,2304337
Galileo Galilei,2301846
Alex Rodriguez,2301438
Bridget Moynahan,2300468
Lethal Weapon (TV series),2299162
Bigg Boss 11,2298769
Cannabis (drug),2298415
Machu Picchu,2298318
Anthony Hopkins,2297820
2016–17 Premier League,2297249
Porno (novel),2296772
Carmelo Anthony,2296631
Javier Bardem,2295113
List of Tamil films of 2017,2293816
Bill Belichick,2293592
Cuba,2293286
Ethiopia,2293108
Coldplay,2292886
Autism,2292807
Jayne Mansfield,2292799
Armie Hammer,2291613
Will & Grace,2290093
Kaya Scodelario,2289333
Saddam Hussein,2289141
David Lynch,2288804
Bill Murray,2287161
Florida,2286925
Spice Girls,2286731
Dawn of the Planet of the Apes,2286524
Gerard Butler,2285489
Zootopia,2283997
Shameless (season 8),2283460
2017 ICC Champions Trophy,2282855
UFC 209,2282780
Down syndrome,2282432
Ancient Rome,2280636
Georgina Chapman,2279998
Ronaldinho,2278173
"Opinion polling for the United Kingdom general election, 2017",2276554
Robert Pattinson,2275286
Alprazolam,2274790
Dennis Rodman,2274713
Billy Joel,2273350
Transgender,2271955
Maddie Ziegler,2270825
Whoopi Goldberg,2270519
Kingdom of Prussia,2269615
The Twilight Saga (film series),2268864
John Paul Getty III,2268310
Antarctica,2267224
Burt Reynolds,2267005
Viggo Mortensen,2266834
Priscilla Presley,2266450
North America,2266417
Amy Poehler,2264725
Tomi Lahren,2263569
Christianity,2262376
David Hahn,2261492
Rosa Parks,2261381
List of Vikings episodes,2260997
Sacha Baron Cohen,2260189
Julian Assange,2259784
Frederick Douglass,2259333
Teen Wolf (season 6),2259324
Shraddha Kapoor,2258716
Om Puri,2257813
DNA,2257734
Ringo Starr,2257075
Absinthe,2255417
Roman numerals,2254211
Orgasm,2254207
Allen Iverson,2253107
Africa,2252986
Paul Pogba,2252622
List of average human height worldwide,2251783
War of 1812,2251543
Gulf War,2250438
Shiva,2250062
Aristotle,2249049
UFC 214,2248850
Impeachment in the United States,2248096
Alien (franchise),2247602
Michael Schumacher,2247044
The Conjuring 2,2246941
Bhutan,2246754
Zeus,2246714
Twice (band),2246529
Billie Jean King,2245362
UFC 217,2244427
Bollywood,2243828
Jagga Jasoos,2243129
Bones (TV series),2242668
Tiger,2242127
List of Games with Gold games,2241978
Operating system,2241823
Danny Masterson,2240617
Toronto,2240471
Doctor Strange,2239545
Jon Hamm,2238701
Thor (film),2237963
Dean Martin,2236798
Jim Morrison,2236308
Paris Hilton,2236201
Inception,2235581
Murder on the Orient Express,2235079
Trainspotting (film),2234752
List of solar eclipses visible from the United States,2233913
The Conjuring,2233317
Meme,2232962
AK-47,2232650
Samsung,2232618
Science,2232522
Jenny McCarthy,2232463
List of original programs distributed by Netflix,2231948
Ethereum,2231874
While You Were Sleeping (2017 TV series),2230558
Internet of things,2230309
Tim Allen,2229423
Paul Ryan,2229309
Clitoris,2228659
Kevin Bacon,2227300
John Goodman,2227223
The Greatest Showman,2225945
Jurassic World,2225877
Dominican Republic,2225753
List of South Park episodes,2225075
Virtual private network,2224479
Sia (musician),2223587
Renaissance,2222488
KJ Apa,2221941
Boruto: Naruto Next Generations,2220208
Pi,2219696
United States House of Representatives,2219426
Bill Cosby,2219054
Mother's Day,2218911
Elizabeth of York,2216939
Edgar Allan Poe,2216730
List of best-selling music artists,2216681
Jab Harry Met Sejal,2216360
Elsa Pataky,2216328
Happy Death Day,2215994
Janet Jackson,2215756
Descendants 2,2215613
Mary of Teck,2215222
Baadshaho,2214926
Brexit,2213788
Fastlane (2017),2213243
Bruce Springsteen,2212675
